label,name,名称,物料类别,数量,BOMID,partType,productID,prop,供应商,制造方式,材料,核心物料,结构号,规格
产品集合,allproduct,所有产品,产品集合,1,-,-,-,-,-,-,-,-,-,-
电推剪,XY05060-002copy,电推剪装箱,电推剪,1,1,部件,XY05060-002copy,-,-,自制,-,是,1,088996-102-000;OSTER;DC1.5V;美国;420C灰色注塑+黑色+299C蓝色
配梳,X1030027-000,配梳2#-HC-530,配梳,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0001,POMF20-03黑色300530115A
POM,X1040045-000,POM-南通宝泰菱,POM,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0001.0001,POMF20-03
母粒,X1040096-000,母粒-特黑,母粒,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0001.0002,1号
油瓶,X5080008-000,油瓶-国润,油瓶,1,1,零件,XY05060-002copy,-,-,自制,-,否,1.0002,4ml英文
清洁刷,X5090006-000,清洁刷-HC-630,清洁刷,1,1,零件,XY05060-002copy,-,-,自制,-,否,1.0003,黑柄白毛300531601A
电推剪,XB05060-002copy,电推剪裸机,电推剪,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004,088996-102-000OSTERDC1.5V美国420C灰色注塑+黑色+299C蓝色
上壳,X1051112-000,上壳-HC-581,上壳,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0001,ABS灰色MA91279300581101A
ABS,X1040006-000,ABS-韩国锦湖,ABS,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0001.0001,ABS750NSW
母粒,X1044620-000,母粒-420C浅灰,母粒,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0001.0002,MA91279ABS
下壳,X1051113-000,下壳-HC-581,下壳,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0002,ABS灰色MA91279300581102A
ABS,X1040006-000,ABS-韩国锦湖,ABS,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0002.0001,ABS750NSW
母粒,X1044620-000,母粒-420C浅灰,母粒,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0002.0002,MA91279ABS
装饰片,X1051011-000,装饰片-HC-581,装饰片,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0003,ABS黑色丝印300581103A
装饰片,X1051117-000,装饰片-HC-581,装饰片,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0003.0001,ABS黑色300581103A
ABS,X1040006-000,ABS-韩国锦湖,ABS,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0003.0001.0001,ABS750NSW
母粒,X1040096-000,母粒-特黑,母粒,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0003.0001.0002,1号
油墨,X6030013-000,油墨-8503,油墨,1,1,零件,XY05060-002copy,-,-,自制,-,否,1.0004.0003.0002,黑色
开关推扭,X1051114-000,开关推扭-HC-581,开关推扭,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0004,ABS蓝色MA91280300581104A
ABS,X1040006-000,ABS-韩国锦湖,ABS,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0004.0001,ABS750NSW
母粒,X1044621-000,母粒-299C蓝,母粒,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0004.0002,MA91280ABS
开关滑制,X1051010-000,开关滑制-HC-581,开关滑制,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0005,POM本色300581105A
POM,X1040045-000,POM-南通宝泰菱,POM,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0005.0001,POMF20-03
电池盖,X1051115-000,电池盖-HC-581,电池盖,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0006,ABS灰色MA91279丝印300581106A
电池盖,X1051118-000,电池盖-HC-581,电池盖,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0006.0001,ABS灰色MA91279300581106A
ABS,X1040006-000,ABS-韩国锦湖,ABS,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0006.0001.0001,ABS750NSW
母粒,X1044620-000,母粒-420C浅灰,母粒,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0006.0001.0002,MA91279ABS
油墨,X6030013-000,油墨-8503,油墨,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0006.0002,黑色
挡发海绵,X5040003-000,挡发海绵-HC-530,挡发海绵,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0007,海绵40*4*4单面背3M胶300530301A
电机压板,X1051009-000,电机压板-HC-581,电机压板,1,1,部件,XY05060-002copy,-,-,自制,-,否,1.0004.0008,POM本色300581107A
POM,X1040045-000,POM-南通宝泰菱,POM,1,1,零件,XY05060-002copy,-,-,外购,-,否,1.0004.0008.0001,POMF20-03
电机,303011X-000,电机,电机,1,1,零件,XY05060-002copy,-,-,自制,-,否,1.0004.0009,MFF-2035SA-4503-R11.5V300530702A
DC电机贴,X5040054-000,DC电机贴-HC-595,DC电机贴,1,1,零件,XY05060-002copy,-,-,外购,-,是,1.0004.0010,EVA30*10*1.0黑色300595301A
