label,name,名称
1222-0053-0_必选配梳,1030027-000,配梳2#-HC-530
1222-0053-0_必选油瓶,5080008-000,油瓶-国润
1222-0053-0_必选清洁刷,5090006-000,清洁刷-HC-630
1222-0053-0_必选电推剪,B05060-002copy,电推剪裸机
1222-0053-0_必选配梳,X1030027-000,配梳2#-HC-530
1222-0053-0_必选油瓶,X5080008-000,油瓶-国润
1222-0053-0_必选清洁刷,X5090006-000,清洁刷-HC-630
1222-0053-0_必选电推剪,XB05060-002copy,电推剪裸机
主结构,1222-0053-0,1222-0053-0
1222-0053-0_必选电机压板,1051009-000,电机压板-HC-581
1222-0053-0_必选开关滑制,1051010-000,开关滑制-HC-581
1222-0053-0_必选装饰片,1051011-000,装饰片-HC-581
1222-0053-0_必选开关推扭,1051114-000,开关推扭-HC-581
1222-0053-0_必选电池盖,1051115-000,电池盖-HC-581
1222-0053-0_必选弹簧,2020404-000,负极弹片压簧-HC-581
1222-0053-0_必选螺丝,2050068-000,螺丝-铁
1222-0053-0_必选螺丝,2050075-000,螺丝-铁
1222-0053-0_必选螺丝,2050093-000,螺丝-铁
1222-0053-0_必选行程接触片,2070112-000,行程接触片-HC-577
1222-0053-0_必选负极弹片,2070172-000,负极弹片-HC-581
1222-0053-0_必选正极片,2070227-000,正极片-HC-530
1222-0053-0_必选偏心轮,2080132-000,偏心轮-HC-530
1222-0053-0_必选电子线,3015272-000,电子线-QIFURUI
1222-0053-0_必选电子线,3015273-000,电子线-QIFURUI
1222-0053-0_必选电子线,3015283-000,电子线-QIFURUI
1222-0053-0_必选电机,3030119-000,DC电机-HC-530
1222-0053-0_必选电机,303011X-000,电机
1222-0053-0_必选电子板,3070611-000,PCB组件-HC-581
1222-0053-0_必选挡发海绵,5040003-000,挡发海绵-HC-530
1222-0053-0_必选DC电机贴,5040054-000,DC电机贴-HC-595
1222-0053-0_必选刀头组件,S05060000-00,刀头组件-HC-581
1222-0053-0_必选电机压板,X1051009-000,电机压板-HC-581
1222-0053-0_必选开关滑制,X1051010-000,开关滑制-HC-581
1222-0053-0_必选装饰片,X1051011-000,装饰片-HC-581
1222-0053-0_必选开关推扭,X1051114-000,开关推扭-HC-581
1222-0053-0_必选电池盖,X1051115-000,电池盖-HC-581
1222-0053-0_必选弹簧,X2020404-000,负极弹片压簧-HC-581
1222-0053-0_必选螺丝,X2050068-000,螺丝-铁
1222-0053-0_必选螺丝,X2050075-000,螺丝-铁
1222-0053-0_必选螺丝,X2050093-000,螺丝-铁
1222-0053-0_必选行程接触片,X2070112-000,行程接触片-HC-577
1222-0053-0_必选负极弹片,X2070172-000,负极弹片-HC-581
1222-0053-0_必选正极片,X2070227-000,正极片-HC-530
1222-0053-0_必选偏心轮,X2080132-000,偏心轮-HC-530
1222-0053-0_必选电子线,X3015272-000,电子线-QIFURUI
1222-0053-0_必选电子线,X3015273-000,电子线-QIFURUI
1222-0053-0_必选电子线,X3015283-000,电子线-QIFURUI
1222-0053-0_必选电子板,X3070611-000,PCB组件-HC-581
