0,1,2,3,4
label,name,label,name,关系类型
主结构,1222-0053-0,1222-0053-0_必选配梳,1030027-000,1222-0053-0_必选
主结构,1222-0053-0,1222-0053-0_必选油瓶,5080008-000,1222-0053-0_必选
主结构,1222-0053-0,1222-0053-0_必选清洁刷,5090006-000,1222-0053-0_必选
主结构,1222-0053-0,1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选
主结构,1222-0053-0,1222-0053-0_必选配梳,X1030027-000,1222-0053-0_必选
主结构,1222-0053-0,1222-0053-0_必选油瓶,X5080008-000,1222-0053-0_必选
主结构,1222-0053-0,1222-0053-0_必选清洁刷,X5090006-000,1222-0053-0_必选
主结构,1222-0053-0,1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选电机压板,1051009-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选开关滑制,1051010-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选装饰片,1051011-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选开关推扭,1051114-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选电池盖,1051115-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选弹簧,2020404-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选螺丝,2050068-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选螺丝,2050075-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选螺丝,2050093-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选行程接触片,2070112-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选负极弹片,2070172-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选正极片,2070227-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选偏心轮,2080132-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选电子线,3015272-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选电子线,3015273-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选电子线,3015283-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选电机,3030119-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选电机,303011X-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选电子板,3070611-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选挡发海绵,5040003-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选DC电机贴,5040054-000,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_必选刀头组件,S05060000-00,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选电机压板,X1051009-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选开关滑制,X1051010-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选装饰片,X1051011-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选开关推扭,X1051114-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选电池盖,X1051115-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选弹簧,X2020404-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选螺丝,X2050068-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选螺丝,X2050075-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选螺丝,X2050093-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选行程接触片,X2070112-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选负极弹片,X2070172-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选正极片,X2070227-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选偏心轮,X2080132-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选电子线,X3015272-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选电子线,X3015273-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选电子线,X3015283-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选电子板,X3070611-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选挡发海绵,X5040003-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选DC电机贴,X5040054-000,1222-0053-0_必选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_必选刀头组件,XS05060000-00,1222-0053-0_必选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_可选塑料壳,1051112-000,1222-0053-0_可选
1222-0053-0_必选电推剪,B05060-002copy,1222-0053-0_可选塑料壳,1051113-000,1222-0053-0_可选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_可选上壳,X1051112-000,1222-0053-0_可选
1222-0053-0_必选电推剪,XB05060-002copy,1222-0053-0_可选下壳,X1051113-000,1222-0053-0_可选
1222-0053-0_必选配梳,1030027-000,1222-0053-0_必选POM,1040045-000,1222-0053-0_必选
1222-0053-0_必选配梳,1030027-000,1222-0053-0_必选母粒,1040096-000,1222-0053-0_必选
1222-0053-0_必选配梳,X1030027-000,1222-0053-0_必选POM,X1040045-000,1222-0053-0_必选
1222-0053-0_必选配梳,X1030027-000,1222-0053-0_必选母粒,X1040096-000,1222-0053-0_必选
1222-0053-0_可选上壳,X1051112-000,1222-0053-0_基本ABS,X1040006-000,1222-0053-0_基本
1222-0053-0_可选上壳,X1051112-000,1222-0053-0_基本母粒,X1044620-000,1222-0053-0_基本
1222-0053-0_可选下壳,X1051113-000,1222-0053-0_基本ABS,X1040006-000,1222-0053-0_基本
1222-0053-0_可选下壳,X1051113-000,1222-0053-0_基本母粒,X1044620-000,1222-0053-0_基本
1222-0053-0_必选刀头组件,S05060000-00,1222-0053-0_必选刀座,1010317-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,S05060000-00,1222-0053-0_必选刀垫,1051407-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,S05060000-00,1222-0053-0_必选弹簧,2020021-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,S05060000-00,1222-0053-0_必选螺丝,2050093-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,S05060000-00,1222-0053-0_必选定刀片,5020005-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,S05060000-00,1222-0053-0_必选动刀片,5020006-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,XS05060000-00,1222-0053-0_必选刀座,X1010317-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,XS05060000-00,1222-0053-0_必选刀垫,X1051407-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,XS05060000-00,1222-0053-0_必选弹簧,X2020021-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,XS05060000-00,1222-0053-0_必选螺丝,X2050093-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,XS05060000-00,1222-0053-0_必选定刀片,X5020005-000,1222-0053-0_必选
1222-0053-0_必选刀头组件,XS05060000-00,1222-0053-0_必选动刀片,X5020006-000,1222-0053-0_必选
1222-0053-0_必选装饰片,1051011-000,1222-0053-0_必选装饰片,1051117-000,1222-0053-0_必选
1222-0053-0_必选装饰片,1051011-000,1222-0053-0_必选油墨,6030013-000,1222-0053-0_必选
1222-0053-0_必选装饰片,X1051011-000,1222-0053-0_必选装饰片,X1051117-000,1222-0053-0_必选
1222-0053-0_必选装饰片,X1051011-000,1222-0053-0_必选油墨,X6030013-000,1222-0053-0_必选
1222-0053-0_必选电机,3030119-000,1222-0053-0_基本定子,DC-3030119-001,1222-0053-0_基本
1222-0053-0_必选电机,3030119-000,1222-0053-0_基本转子,DC-3030119-025,1222-0053-0_基本
1222-0053-0_必选电机,3030119-000,1222-0053-0_基本旋转变压器,DC-3030119-035,1222-0053-0_基本
1222-0053-0_必选电机,3030119-000,1222-0053-0_基本轴承,DC-3030119-036,1222-0053-0_基本
1222-0053-0_必选电机,3030119-000,1222-0053-0_基本油封,DC-3030119-037,1222-0053-0_基本
1222-0053-0_必选电机,3030119-000,1222-0053-0_基本前后端盖,DC-3030119-038,1222-0053-0_基本
1222-0053-0_必选电机,3030119-000,1222-0053-0_基本接线盒,DC-3030119-039,1222-0053-0_基本
1222-0053-0_必选电机压板,1051009-000,1222-0053-0_必选POM,1040045-000,1222-0053-0_必选
1222-0053-0_必选电机压板,X1051009-000,1222-0053-0_必选POM,X1040045-000,1222-0053-0_必选
1222-0053-0_必选电池盖,1051115-000,1222-0053-0_必选电池盖,1051118-000,1222-0053-0_必选
1222-0053-0_必选电池盖,1051115-000,1222-0053-0_必选油墨,6030013-000,1222-0053-0_必选
1222-0053-0_必选电池盖,X1051115-000,1222-0053-0_必选电池盖,X1051118-000,1222-0053-0_必选
1222-0053-0_必选电池盖,X1051115-000,1222-0053-0_必选油墨,X6030013-000,1222-0053-0_必选
1222-0053-0_可选塑料壳,1051112-000,1222-0053-0_基本ABS,1040006-000,1222-0053-0_基本
1222-0053-0_可选塑料壳,1051113-000,1222-0053-0_基本ABS,1040006-000,1222-0053-0_基本
1222-0053-0_可选塑料壳,1051112-000,1222-0053-0_基本母粒,1044620-000,1222-0053-0_基本
1222-0053-0_可选塑料壳,1051113-000,1222-0053-0_基本母粒,1044620-000,1222-0053-0_基本
1222-0053-0_必选开关推扭,1051114-000,1222-0053-0_必选ABS,1040006-000,1222-0053-0_必选
1222-0053-0_必选开关推扭,1051114-000,1222-0053-0_必选母粒,1044621-000,1222-0053-0_必选
1222-0053-0_必选开关推扭,X1051114-000,1222-0053-0_必选ABS,X1040006-000,1222-0053-0_必选
1222-0053-0_必选开关推扭,X1051114-000,1222-0053-0_必选母粒,X1044621-000,1222-0053-0_必选
1222-0053-0_必选开关滑制,1051010-000,1222-0053-0_必选POM,1040045-000,1222-0053-0_必选
1222-0053-0_必选开关滑制,X1051010-000,1222-0053-0_必选POM,X1040045-000,1222-0053-0_必选
1222-0053-0_必选刀垫,1051407-000,1222-0053-0_必选POM,1040045-000,1222-0053-0_必选
1222-0053-0_必选刀垫,X1051407-000,1222-0053-0_必选POM,X1040045-000,1222-0053-0_必选
1222-0053-0_必选刀座,1010317-000,1222-0053-0_必选POM,1040045-000,1222-0053-0_必选
1222-0053-0_必选刀座,1010317-000,1222-0053-0_必选母粒,1040096-000,1222-0053-0_必选
1222-0053-0_必选刀座,X1010317-000,1222-0053-0_必选POM,X1040045-000,1222-0053-0_必选
1222-0053-0_必选刀座,X1010317-000,1222-0053-0_必选母粒,X1040096-000,1222-0053-0_必选
1222-0053-0_必选装饰片,1051117-000,1222-0053-0_必选ABS,1040006-000,1222-0053-0_必选
1222-0053-0_必选装饰片,1051117-000,1222-0053-0_必选母粒,1040096-000,1222-0053-0_必选
1222-0053-0_必选装饰片,X1051117-000,1222-0053-0_必选ABS,X1040006-000,1222-0053-0_必选
1222-0053-0_必选装饰片,X1051117-000,1222-0053-0_必选母粒,X1040096-000,1222-0053-0_必选
1222-0053-0_基本转子,DC-3030119-025,1222-0053-0_基本转子铁心,DC-3030119-026,1222-0053-0_基本
1222-0053-0_基本转子,DC-3030119-025,1222-0053-0_基本磁钢,DC-3030119-029,1222-0053-0_基本
1222-0053-0_基本转子,DC-3030119-025,1222-0053-0_基本转子支架,DC-3030119-030,1222-0053-0_基本
1222-0053-0_基本转子,DC-3030119-025,1222-0053-0_基本轴,DC-3030119-031,1222-0053-0_基本
1222-0053-0_基本转子,DC-3030119-025,1222-0053-0_基本键,DC-3030119-032,1222-0053-0_基本
1222-0053-0_基本转子,DC-3030119-025,1222-0053-0_基本平衡端板,DC-3030119-033,1222-0053-0_基本
1222-0053-0_基本转子,DC-3030119-025,1222-0053-0_基本环氧胶,DC-3030119-034,1222-0053-0_基本
1222-0053-0_基本定子,DC-3030119-001,1222-0053-0_基本有绕组定子铁心,DC-3030119-002,1222-0053-0_基本
1222-0053-0_基本接线盒,DC-3030119-039,1222-0053-0_基本接线盒盖,DC-3030119-040,1222-0053-0_基本
1222-0053-0_基本接线盒,DC-3030119-039,1222-0053-0_基本接线盒座,DC-3030119-041,1222-0053-0_基本
1222-0053-0_基本接线盒,DC-3030119-039,1222-0053-0_基本防水接头,DC-3030119-042,1222-0053-0_基本
1222-0053-0_基本接线盒,DC-3030119-039,1222-0053-0_基本接线板,DC-3030119-043,1222-0053-0_基本
1222-0053-0_基本转子铁心,DC-3030119-026,1222-0053-0_基本转子冲片,DC-3030119-027,1222-0053-0_基本
1222-0053-0_基本转子冲片,DC-3030119-027,1222-0053-0_基本硅钢片,DC-3030119-028,1222-0053-0_基本
1222-0053-0_基本有绕组定子铁心,DC-3030119-002,1222-0053-0_基本定子铁心,DC-3030119-003,1222-0053-0_基本
1222-0053-0_基本有绕组定子铁心,DC-3030119-002,1222-0053-0_基本绕组,DC-3030119-006,1222-0053-0_基本
1222-0053-0_基本有绕组定子铁心,DC-3030119-002,1222-0053-0_基本槽绝缘,DC-3030119-008,1222-0053-0_基本
1222-0053-0_基本有绕组定子铁心,DC-3030119-002,1222-0053-0_基本层间绝缘,DC-3030119-009,1222-0053-0_基本
1222-0053-0_基本有绕组定子铁心,DC-3030119-002,1222-0053-0_基本相间绝缘,DC-3030119-010,1222-0053-0_基本
1222-0053-0_基本有绕组定子铁心,DC-3030119-002,1222-0053-0_基本盖槽纸,DC-3030119-011,1222-0053-0_基本
1222-0053-0_基本有绕组定子铁心,DC-3030119-002,1222-0053-0_基本绝缘套管,DC-3030119-012,1222-0053-0_基本
