"_id","_labels","BOMID","id","名称","partType","productID","prop","供应商","制造方式","层级","数量","材料","核心物料","物料类别","结构号","规格","_start","_end","_type"
"6884",":temp","1","XY05060-002copy","电推剪装箱","部件","XY05060-002copy","","","自制","1","1","","是","电推剪","1","088996-102-000;OSTER;DC1.5V;美国;420C灰色注塑+黑色+299C蓝色",,,
"6720",":temp","1","X1030027-000","配梳2#-HC-530","部件","XY05060-002copy","","","自制","2","1","","否","配梳","1.0001","POMF20-03黑色300530115A",,,
"6721",":temp","1","X1040045-000","POM-南通宝泰菱","零件","XY05060-002copy","","","外购","3","1","","否","POM","1.0001.0001","POMF20-03",,,
"6722",":temp","1","X1040096-000","母粒-特黑","零件","XY05060-002copy","","","外购","3","1","","否","母粒","1.0001.0002","1号",,,
"6723",":temp","1","X5080008-000","油瓶-国润","零件","XY05060-002copy","","","自制","2","1","","否","油瓶","1.0002","4ml英文",,,
"6724",":temp","1","X5090006-000","清洁刷-HC-630","零件","XY05060-002copy","","","自制","2","1","","否","清洁刷","1.0003","黑柄白毛300531601A",,,
"6725",":temp","1","XB05060-002copy","电推剪裸机","部件","XY05060-002copy","","","自制","2","1","","否","电推剪","1.0004","088996-102-000OSTERDC1.5V美国420C灰色注塑+黑色+299C蓝色",,,
"6726",":temp","1","X1051112-000","上壳-HC-581","部件","XY05060-002copy","","","自制","3","1","","否","上壳","1.0004.0001","ABS灰色MA91279300581101A",,,
"6727",":temp","1","X1040006-000","ABS-韩国锦湖","零件","XY05060-002copy","","","外购","4","1","","否","ABS","1.0004.0001.0001","ABS750NSW",,,
"6728",":temp","1","X1044620-000","母粒-420C浅灰","零件","XY05060-002copy","","","外购","4","1","","否","母粒","1.0004.0001.0002","MA91279ABS",,,
"6729",":temp","1","X1051113-000","下壳-HC-581","部件","XY05060-002copy","","","自制","3","1","","否","下壳","1.0004.0002","ABS灰色MA91279300581102A",,,
"6730",":temp","1","X1040006-000","ABS-韩国锦湖","零件","XY05060-002copy","","","外购","4","1","","否","ABS","1.0004.0002.0001","ABS750NSW",,,
"6745",":temp","1","X1044620-000","母粒-420C浅灰","零件","XY05060-002copy","","","外购","4","1","","否","母粒","1.0004.0002.0002","MA91279ABS",,,
"6746",":temp","1","X1051011-000","装饰片-HC-581","部件","XY05060-002copy","","","自制","3","1","","否","装饰片","1.0004.0003","ABS黑色丝印300581103A",,,
"6747",":temp","1","X1051117-000","装饰片-HC-581","部件","XY05060-002copy","","","自制","4","1","","否","装饰片","1.0004.0003.0001","ABS黑色300581103A",,,
"6748",":temp","1","X1040006-000","ABS-韩国锦湖","零件","XY05060-002copy","","","外购","5","1","","否","ABS","1.0004.0003.0001.0001","ABS750NSW",,,
"6749",":temp","1","X1040096-000","母粒-特黑","零件","XY05060-002copy","","","外购","5","1","","否","母粒","1.0004.0003.0001.0002","1号",,,
"6750",":temp","1","X6030013-000","油墨-8503","零件","XY05060-002copy","","","自制","4","1","","否","油墨","1.0004.0003.0002","黑色",,,
"6751",":temp","1","X1051114-000","开关推扭-HC-581","部件","XY05060-002copy","","","自制","3","1","","否","开关推扭","1.0004.0004","ABS蓝色MA91280300581104A",,,
"6752",":temp","1","X1040006-000","ABS-韩国锦湖","零件","XY05060-002copy","","","外购","4","1","","否","ABS","1.0004.0004.0001","ABS750NSW",,,
