0,1,2,3,4,5,6
label,name,ref,characteristic,label,name,rel
需求,刀头材质,HC-597,HC,规则,刀头组件,4
需求,刀头材质,镀钛/镀铬,HRC,规则,定刀片,5
需求,刀头材质,镀铬/抛光,HRC,规则,动刀片,5
需求,防水,HC-597,HC,规则,刀头组件,4
需求,防水,丝印/黑色/黑色喷胶,HC,规则,下壳,4
需求,防水,喷银色/黑色/本色,HC,规则,上壳,4
需求,充电方式,500mAh/800mAh,HC,规则,锂电池,4
需求,充电方式,圆尾插D3.5/八字尾OD1.5,HC,规则,充电器,3
需求,充电时间,500mAh/800mAh,HC,规则,锂电池,4
需求,充电时间,圆尾插D3.5/八字尾OD1.5,HC,规则,充电器,3
需求,电池类型,500mAh/800mAh,HC,规则,锂电池,4
需求,推头调节,黑色,HC,规则,刀座,5
需求,推头调节,4-6mm/4-16mm,mm,规则,配梳4,3
需求,噪音,2.4V/3.7V,HC,规则,DC电机,4
需求,开关类型,黑色,HC,规则,开关推制,4
需求,开关类型,本色,HC,规则,开关滑制,4
需求,梳齿数量,4-6mm/4-16mm,mm,规则,配梳4,3
需求,触屏,650,HC,规则,PCB组件,4
