0,1,2,3,4,5,6
label,name,ref,characteristic,label,name,rel
需求,像素,2MP/4MP/8MP/200万/400万/800万,MP/万,规则,机芯模组,4
需求,尾线,网络/电源/音频/报警/RS485/0.53m/0.47m,m,规则,尾线,5
（实际数据表制作时，请删除该行及以下行）数据表制作说明：,,,,,,
1、第一行不可删除，表明列数,,,,,,
2、第二行的英文单词不可删减和修改。,,,,,,
     其中，第一列均为“需求”，表示规则图谱的节点类别，不可更改,,,,,,
              第二列为具体需求,,,,,,
              第三列表示需求检索时的具体输入参数，用“/”符号分割不同的输入参数,,,,,,
              第四列为需求特性关键词（用于规则补全），用“/”符号分割不同的关键词,,,,,,
              第五列均为“规则”，表示规则图谱的节点类别，不可更改,,,,,,
              第六列为需求对应的模块类别,,,,,,
              第七列为模块所在的层级,,,,,,
3、用户从第三行开始修改填写真实数据,,,,,,
4、不可出现空的单元格，可用“-”符号代替,,,,,,
